"","timestamp","source","destination","databytes"
"1",0.43432,9,2,64
"2",0.44896,2,9,32
"3",0.455793,5,4,207
"4",0.486049,5,11,121
"5",0.524112,23,24,227
"6",0.597312,29,30,60
"7",0.627569,17,34,52
"8",0.636352,24,23,50
"9",0.63928,24,23,50
"10",0.654896,2,35,212
"11",0.657824,2,37,212
"12",0.657826,2,37,212
"13",0.693936,2,37,212
"14",0.703697,34,17,40
"15",0.7076,2,1,146
"16",0.728096,17,34,52
"17",0.747616,5,16,41
"18",0.770065,44,45,69
"19",0.772992,45,47,69
"20",0.776897,47,49,71
"21",0.779824,44,45,69
"22",0.781776,45,47,69
"23",0.784704,47,49,71
"24",0.802272,5,16,35
"25",0.83448,2,35,212
"26",0.835456,5,16,35
"27",0.854976,5,16,32
"28",0.857905,2,52,45
"29",0.884258,5,16,17
"30",0.96136,5,55,19
"31",0.99552,30,58,56
"32",1.001953,30,29,56
"33",1.006832,30,59,56
"34",1.011712,30,60,56
"35",1.040992,55,5,39
"36",1.091744,8,54,45
"37",1.118096,2,35,212
"38",1.128833,17,34,50
"39",1.130784,2,37,212
"40",1.130786,2,37,212
"41",1.151281,65,45,113
"42",1.154208,45,47,111
"43",1.157136,47,66,111
"44",1.170801,5,62,137
"45",1.180561,43,2,29
"46",1.215696,2,35,212
"47",1.330864,5,11,37
"48",1.33477,2,35,212
"49",1.43432,2,52,100
"50",1.437248,32,22,229
"51",1.454817,75,5,34
"52",1.486048,2,37,212
"53",1.504592,8,77,42
"54",1.530944,8,77,39
"55",1.604144,2,37,212
"56",1.62464,78,5,44
"57",1.669537,79,80,49
"58",1.71248,29,30,60
"59",1.727121,2,52,140
"60",1.727122,11,5,36
"61",1.779824,2,35,212
"62",1.812032,2,37,212
"63",1.813008,75,5,31
"64",1.825696,84,5,43
"65",1.862784,2,35,212
"66",1.886208,79,80,50
"67",1.902801,5,57,50
"68",1.92232,76,5,43
"69",1.9272,57,5,30
"70",1.935008,2,37,212
"71",1.935984,61,5,38
"72",1.976,4,5,43
"73",1.982834,17,74,97
"74",1.988688,2,35,212
"75",2.002928,89,90,92
"76",2.026353,5,16,37
"77",2.079056,84,5,42
"78",2.08589,5,55,19
"79",2.100529,88,5,40
"80",2.114193,5,11,44
"81",2.11712,61,5,37
"82",2.120048,2,37,212
"83",2.164944,55,5,56
"84",2.25376,2,37,212
"85",2.3416,78,5,43
"86",2.34648,5,16,37
"87",2.367952,17,74,41
"88",2.410897,5,16,37
"89",2.4148,2,35,212
"90",2.431392,2,37,212
"91",2.437248,82,5,32
"92",2.446032,61,5,34
"93",2.524112,2,35,212
"94",2.560225,5,16,36
"95",2.569008,2,37,212
"96",2.584624,2,35,212
"97",2.600241,75,5,38
"98",2.600242,75,5,46
"99",2.687104,57,5,35
"100",2.68808,87,5,33
"101",2.689056,5,62,46
"102",2.701745,76,5,156
"103",2.70272,75,5,37
"104",2.7076,74,17,33
"105",2.739809,2,37,212
"106",2.7808,82,5,47
"107",2.807152,11,5,41
"108",2.855952,75,5,110
"109",2.872544,5,4,47
"110",2.884256,5,55,19
"111",2.904752,2,37,212
"112",2.915488,2,35,212
"113",2.924272,2,103,53
"114",2.926225,2,103,214
"115",2.940864,87,5,49
"116",2.955504,55,5,45
"117",2.987712,88,5,39
"118",3.030257,78,5,42
"119",3.065392,2,37,212
"120",3.077104,57,5,35
"121",3.112241,75,5,192
"122",3.172752,2,103,24
"123",3.194224,82,5,50
"124",3.227408,5,16,38
"125",3.276208,5,16,39
"126",3.279137,2,37,212
"127",3.300608,5,16,35
"128",3.311345,79,80,42
"129",3.35136,17,74,40
"130",3.394304,5,16,39
"131",3.401136,2,35,212
"132",3.417728,2,37,212
"133",3.430416,5,4,47
"134",3.440176,88,5,39
"135",3.520208,2,35,212
"136",3.531922,5,62,37
"137",3.539728,38,5,106
"138",3.55632,17,20,45
"139",3.579744,2,35,212
"140",3.613906,2,37,212
"141",3.615856,5,38,39
"142",3.699792,74,17,34
"143",3.713456,4,5,35
"144",3.729073,2,37,212
"145",3.731024,2,103,24
"146",3.869617,38,5,41
"147",3.894993,57,5,35
